keyword,output with temp = 0.3
妳知道嗎愛,妳知道嗎愛到心在一的。我一我愛一我人我你。
如果不是那,如果不是那的我一我愛。一我人我你我我我我。
早知道這段,早知道這段我的我一我。愛一我人我你我我我。
我聽說通常,我聽說通常的的一的一。的一的一的一的一的。
陽光越過窗,陽光越過窗一的一的一。的一的一的一的一的。
我以為要是,我以為要是的我一我愛。一我人我你我我我我。
也許一天再,也許一天再一的我一我。愛一我人我你我我我。
灰灰的天空,灰灰的天空一我我我我。我我我我我我我我我。
他靜悄悄地,他靜悄悄地這我的的一。的一的一的一的一的。
不懂愛恨情,不懂愛恨情如當也誰我。我我我我我我我我我。
時間靜止了,時間靜止了不我我我我。我我我我我我我我我。
我們都是泡,我們都是泡愛的我我你。我我我我我我我我我。
陽光越過窗,陽光越過窗一的一的一。的一的一的一的一的。
蕭瑟的風雨,蕭瑟的風雨的一的一的。一的一的一的一的一。
聽我講莊腳,聽我講莊腳心在上的我。我的我我的我我的我。
是否愛就得,是否愛就得我你我我我。我我我我我我我我我。
男明年這個,男明年這個的話是愛的。我愛的我愛的我愛的。
當吃完晚飯,當吃完晚飯快這我我的。我的一的一的一的一。
穿過妳的黑,穿過妳的黑這是我的我。我的我我的我我的我。
煮成漿糊的,煮成漿糊的我我的我的。一的一的一的一的一。
燈不能熄滅,燈不能熄滅的我的一的。一的一的一的一的一。
爺爺泡的茶,爺爺泡的茶的我一的我。一我愛一我人我你我。
每個人都在,每個人都在這個人就是。你的人我說了我的心。
昨夜的南風,昨夜的南風如在一裡上。的我的一的一的一的。
灰灰的天空,灰灰的天空一我我我我。我我我我我我我我我。
男明年這個,男明年這個的話是愛的。我愛的我愛的我愛的。
小學籬芭旁,小學籬芭旁不我的一的。一的一的一的一的一。
如果那兩個,如果那兩個一一的我一。我愛一我人我你我我。
希望被蒸發,希望被蒸發等的我我的。我的一的一的一的一。
是寂寞慢慢,是寂寞慢慢這我的的一。的一的一的一的一的。
該不該擱下,該不該擱下我的在在在。在在在在在在在在在。
赤道的邊境,赤道的邊境一的的一的。一的一的一的一的一。
鳥群離開了,鳥群離開了我不的我我。的我的一的一的一的。
一直在等待,一直在等待在我我我我。我我我我我我我我我。
目送你離開,目送你離開我在我在一。在一的一的一的一的。
我想陪你走,我想陪你走不到天黑在。風中的皮膚裡的心都。
素胚勾勒出,素胚勾勒出累會踱步哇。嗯上在在在在在在在。
要我的命啊,要我的命啊這個人是你。的心裡在這個人是你。
我的天是灰,我的天是灰的心裡在這。個人是你的心裡在這。
用多少時間,用多少時間一的一的一。的一的一的一的一的。
等待哦最真,等待哦最真的我誰了我。的我一我愛一我人我。
今天來這邊,今天來這邊我的的一的。一的一的一的一的一。
小朋友你是,小朋友你是微微三一如。的一的一的一的一的。
流傳在月夜,流傳在月夜嗯的的的一。的一的一的一的一的。
我們叫他阿,我們叫他阿的我我的我。我的我我的我我的我。
如果不是那,如果不是那的我一我愛。一我人我你我我我我。
為什麼又想,為什麼又想一我我我我。我我我我我我我我我。
回憶裡想起,回憶裡想起的我我的我。的一的一的一的一的。
對這個世界,對這個世界在我我的我。我的我我的我我的我。
周董在金曲,周董在金曲這我如的一。的一的一的一的一的。
小叮噹不愛,小叮噹不愛如我的的一。的一的一的一的一的。
難過是因為,難過是因為不我我我我。我我我我我我我我我。
晴天太平洋,晴天太平洋嗯我在在在。在在在在在在在在在。
如果那兩個,如果那兩個一一的我一。我愛一我人我你我我。
分不清這感,分不清這感我愛的我愛。的我愛的我愛的我愛。
為什麼我要,為什麼我要我我我我我。我我我我我我我我我。
淚光中你的,淚光中你的當一的我一。我愛一我人我你我我。
流傳在月夜,流傳在月夜嗯的的的一。的一的一的一的一的。
鑰匙掛腰帶,鑰匙掛腰帶/如/如在。上的在的一的一的一。
好呀好呀中,好呀好呀中的心裡在風。中的心女人透明的人。
地面燈火像,地面燈火像我我我我我。我我我我我我我我我。
如果說懷疑,如果說懷疑我的在在在。在在在在在在在在在。
妖精在我的,妖精在我的我一我愛一。我人我你我我我我我。
如果不是那,如果不是那的我一我愛。一我人我你我我我我。
周圍的人群,周圍的人群這我的的一。的一的一的一的一的。
妖精在我的,妖精在我的我一我愛一。我人我你我我我我我。
你知道嗎愛,你知道嗎愛愛愛愛愛愛。愛愛愛愛愛愛愛愛愛。
前塵往事成,前塵往事成的我我的我。的一的一的一的一的。
分不清這感,分不清這感我愛的我愛。的我愛的我愛的我愛。
灰灰的天空,灰灰的天空一我我我我。我我我我我我我我我。
冷咖啡離開,冷咖啡離開的的一的一。的一的一的一的一的。
相約在一個,相約在一個如如我一的。我一我愛一我人我你。
有一天我發,有一天我發著我用誰是。你的人我說了我的心。
為什麼又想,為什麼又想一我我我我。我我我我我我我我我。
妳知道嗎愛,妳知道嗎愛到心在一的。我一我愛一我人我你。
淚光中你的,淚光中你的當一的我一。我愛一我人我你我我。
最近你好嗎,最近你好嗎的我我我的。我我的我我的我我的。
我想要的想,我想要的想的我一我愛。一我人我你我我我我。
機會就近在,機會就近在我我我我我。我我我我我我我我我。
香飄散在微,香飄散在微的了的我我。的我我的我我的我我。
當清晨的風,當清晨的風在一的如如。我的我一我愛一我人。
當然要留給,當然要留給的我我的我。的一的一的一的一的。
山隔壁還是,山隔壁還是的的一的一。的一的一的一的一的。
後視鏡裡的,後視鏡裡的我的一的一。的一的一的一的一的。
不要問不要,不要問不要愛愛愛愛愛。愛愛愛愛愛愛愛愛愛。
相約在一個,相約在一個如如我一的。我一我愛一我人我你。
難過是因為,難過是因為不我我我我。我我我我我我我我我。
目送你離開,目送你離開我在我在一。在一的一的一的一的。
躺在病床上,躺在病床上我的我一我。愛一我人我你我我我。
好不容易睜,好不容易睜的一在我不。的一在我不的一在我。
如果不是那,如果不是那的我一我愛。一我人我你我我我我。
妳知道嗎愛,妳知道嗎愛到心在一的。我一我愛一我人我你。
電視一直閃,電視一直閃的我著一一。的一的一的一的一的。
告別的時刻,告別的時刻的的一的一。的一的一的一的一的。
人生不是ㄧ,人生不是ㄧ一上如如如。如如如如如如如如如。
純音樂,純音樂的不一一一一一。一一一一一一一一一。
妳說我像一,妳說我像一個人是誰的。人再久的心裡在風中。
不忍看你像,不忍看你像的我一的我。一我愛一我人我你我。
聞說你時常,聞說你時常à這我誰的。我我我的我我的我我。
日落照在臉,日落照在臉嗯嗯上我的。我一我愛一我人我你。
背靠在樹枝,背靠在樹枝下愛的我的。一的一的一的一的一。
隨著你的步,隨著你的步上一都如當。也誰我我我我我我我。
對這個世界,對這個世界在我我的我。我的我我的我我的我。
想約在一個,想約在一個人用誰是你。的人我說了我的心裡。
虛擬的善惡,虛擬的善惡等等哼哼這。我的的一的一的一的。
我聽說通常,我聽說通常的的一的一。的一的一的一的一的。
街燈絆住我,街燈絆住我我這我的的。一的一的一的一的一。
夜半涼但我,夜半涼但我的我你我我。我我我我我我我我我。
它偷偷摸摸,它偷偷摸摸我的在在在。在在在在在在在在在。
曾經理想很,曾經理想很在我我我我。我我我我我我我我我。
娘子娘子卻,娘子娘子卻到不我我我。我我我我我我我我我。
昨夜又夢見,昨夜又夢見的我我的我。的一的一的一的一的。
眼睛你要擦,眼睛你要擦我我我的我。我的我我的我我的我。
像突然淡忘,像突然淡忘的這我的的。一的一的一的一的一。
淺嚐過的愛,淺嚐過的愛說不我我我。我我我我我我我我我。
拿起小剪刀,拿起小剪刀的如的一的。一的一的一的一的一。
我聽說通常,我聽說通常的的一的一。的一的一的一的一的。
趕著下班的,趕著下班的跑道這我我。的我的一的一的一的。
當然要留給,當然要留給的我我的我。的一的一的一的一的。
邊喝啤酒邊,邊喝啤酒邊心如裡在上。的我我的我我的我我。
好像有東西,好像有東西我這的一的。一的一的一的一的一。
放手一搏令,放手一搏令上如的在在。在在在在在在在在在。
鑰匙掛腰帶,鑰匙掛腰帶/如/如在。上的在的一的一的一。
時間靜止了,時間靜止了不我我我我。我我我我我我我我我。
誰羨慕我的,誰羨慕我的我的話我不。這的我一我愛一我人。
林俊傑世界,林俊傑世界我不的一在。我不的一在我不的一。
如果有一天,如果有一天我你我我我。我我我我我我我我我。
親吻你的手,親吻你的手這都我我我。我我我我我我我我我。
請你再為我,請你再為我的心裡在風。中的心女人透明的人。
她熄掉晚燈,她熄掉晚燈如//我在。的一的一的一的一的。
前塵往事成,前塵往事成的我我的我。的一的一的一的一的。
為什麼我要,為什麼我要我我我我我。我我我我我我我我我。
站台漸漸遠,站台漸漸遠如我的的一。的一的一的一的一的。
收拾我所有,收拾我所有嗯的我的一。的一的一的一的一的。
等風雨經過,等風雨經過我在的一的。一的一的一的一的一。
當吃完晚飯,當吃完晚飯快這我我的。我的一的一的一的一。
今夜夜深癡,今夜夜深癡鬥志的的我。在一在一的一的一的。
也曾追求也,也曾追求也了我的我一。我愛一我人我你我我。
為什麼又想,為什麼又想一我我我我。我我我我我我我我我。
在很久很久,在很久很久我知道我想。我想我想我想我想我。
時間靜止了,時間靜止了不我我我我。我我我我我我我我我。
天色將晚在,天色將晚在一上我的我。一我愛一我人我你我。
*****,*****等你說不到。你的心裡在這個人是。
為什麼我要,為什麼我要我我我我我。我我我我我我我我我。
再也沒有純,再也沒有純的我我的我。我的我我的我我的我。
要我的命啊,要我的命啊這個人是你。的心裡在這個人是你。
又很久沒見,又很久沒見我的心裡在。風中的心女人透明的。
煮成漿糊的,煮成漿糊的我我的我的。一的一的一的一的一。
不小心回到,不小心回到的我我的我。的一的一的一的一的。
一顆兩顆三,一顆兩顆三顆四顆嗯嗯。嗯嗯嗯嗯嗯嗯嗯嗯嗯。
才離開沒多,才離開沒多一我愛一我。人我你我我我我我我。
我們叫他阿,我們叫他阿的我我的我。我的我我的我我的我。
該不該擱下,該不該擱下我的在在在。在在在在在在在在在。
我用盡所有,我用盡所有的的的一的。一的一的一的一的一。
你瘦了憔悴,你瘦了憔悴的我我我的。我我的我我的我我的。
今天來這邊,今天來這邊我的的一的。一的一的一的一的一。
為什麼我要,為什麼我要我我我我我。我我我我我我我我我。
收拾下自己,收拾下自己著一在一的。一的一的一的一的一。
大地恢復安,大地恢復安à的如的一。的一的一的一的一的。
不知道我存,不知道我存這我等輕柔。我等卻了我的我一我。
一臉的醉意,一臉的醉意這我敵人等。的如如我的我一我愛。
看著你我開,看著你我開到不想我的。我一我愛一我人我你。
人生不是一,人生不是一的我一我愛。一我人我你我我我我。
這蜿蜒的微,這蜿蜒的微的我我的我。我的我我的我我的我。
我不是一定,我不是一定我我我我我。我我我我我我我我我。
我們的開始,我們的開始我我我我我。我我我我我我我我我。
怎麼隱藏我,怎麼隱藏我我在的一的。一的一的一的一的一。
尼羅河悄悄,尼羅河悄悄/在在在在。在在在在在在在在在。
